Ticker,Signal Date,Buy Date,Buy Price,%BelowSMA100_at_Buy,Sell Date,Sell Price,%Gain,Cost_bps,Slippage_bps,Net%Gain,HoldingDays,ExitReason,RSI14_at_Signal,IBS_at_Signal,RV20_at_Signal,Breadth_at_Signal,Slope_at_Signal,Votes_At_Entry
PARA,2022-11-04,2022-11-07,14.833261,30.3208,2022-12-07,16.940203,14.2042,10,5,13.8616,21,MACD_DownCross,29.64,0.224,0.623,0.392,-0.113113,3
COIN,2022-11-09,2022-11-10,51.040001,24.3271,2022-12-06,42.41,-16.9083,10,5,-17.1576,17,ATR_Trailing,29.624,0.268,0.954,0.402,-0.003598,4
TSLA,2022-11-09,2022-11-10,189.899994,26.6494,2022-12-12,167.820007,-11.6272,10,5,-11.8923,21,ATR_Trailing,24.475,0.025,0.636,0.402,-0.193266,5
GNRC,2022-11-14,2022-11-15,110.809998,43.8793,2022-12-05,96.599998,-12.8238,10,5,-13.0853,13,ATR_Trailing,37.912,0.011,1.26,0.55,-1.465613,5
CRWD,2022-12-06,2022-12-07,114.330002,31.299,2022-12-19,108.089996,-5.4579,10,5,-5.7415,8,MACD_DownCross,31.324,0.145,0.817,0.592,-0.432013,3
GNRC,2022-12-06,2022-12-07,93.620003,47.983,2022-12-30,100.660004,7.5198,10,5,7.1972,16,EndOfYear,33.583,0.29,0.696,0.592,-1.152707,3
COIN,2022-12-09,2022-12-12,39.98,38.862,2022-12-19,35.169998,-12.031,10,5,-12.2949,5,MACD_DownCross,36.99,0.041,0.992,0.586,-0.096374,3
TSLA,2022-12-16,2022-12-19,154.0,36.3939,2022-12-22,125.349998,-18.6039,10,5,-18.8481,3,ATR_Initial,28.624,0.017,0.619,0.518,-0.658927,4
TSLA,2022-12-23,2022-12-27,117.5,49.7905,2022-12-30,123.18,4.834,10,5,4.5195,3,EndOfYear,19.82,0.28,0.609,0.538,-0.948792,3
COIN,2022-12-27,2022-12-28,32.580002,47.4083,2022-12-30,35.389999,8.6249,10,5,8.299,2,EndOfYear,32.016,0.099,0.752,0.546,-0.240182,3
